"DANSK.NAVN";"LATINSK.NAVN";"Familie";"ID"
"Almindelig hyld";"Sambucus nigra";"Adoxaceae";"765394"
"Drue-hyld";"Sambucus racemosa";"Adoxaceae";"57824"
"Voldtimian";"Satureja acinos";"Lamiaceae";"157967"
"Kornet stenbræk";"Saxifraga granulata";"Saxifragaceae";"124135"
"Trekløft-stenbræk";"Saxifraga tridactylites";"Saxifragaceae";"168479"
"Sø-kogleaks";"Schoenoplectus lacustris";"Cyperaceae";"168628"
"Strand-kogleaks";"Schoenoplectus maritimus";"Cyperaceae";"58345"
"Skov-kogleaks";"Scirpus sylvaticus";"Cyperaceae";"84512"
"Knoldet brunrod";"Scrophularia nodosa";"Scrophulariaceae";"124485"
"Bidende stenurt";"Sedum acre";"Crassulaceae";"55734"
"Seline";"Selinum carvifolia";"Apiaceae";"204409"
"Eng-brandbæger";"Senecio jacobaea";"Asteraceae";"62498"
"Vår-brandbæger";"Senecio vernalis";"Asteraceae";"336378"
"Almindelig brandbæger";"Senecio vulgaris";"Asteraceae";"53211"
"Strandmalurt";"Seriphidium maritimum";"Asteraceae";"503367"
"Kegle-limurt";"Silene conica";"Caryophyllaceae";"61118"
"Dag-pragtstjerne";"Silene dioica";"Caryophyllaceae";"55759"
"Aften-pragtstjerne";"Silene latifolia ssp. alba";"Caryophyllaceae";"79109"
"Nikkende limurt";"Silene nutans";"Caryophyllaceae";"124138"
"Almindelig gyldenris";"Solidago virgaurea";"Asteraceae";"118850"
"Almindelig røn";"Sorbus aucuparia";"Rosaceae";"56063"
"Selje-røn";"Sorbus intermedia";"Rosaceae";"367268"
"Almindelig vadegræs";"Spartina alterniflora x maritima";"Poaceae";"772903"
"Kær-galtetand";"Stachys palustris";"Lamiaceae";"57457"
"Skov-galtetand";"Stachys sylvatica";"Lamiaceae";"129850"
"Sump-fladstjerne";"Stellaria alsine";"Caryophyllaceae";"169330"
"Græsbladet fladstjerne";"Stellaria graminea";"Caryophyllaceae";"61948"
"Stor fladstjerne";"Stellaria holostea";"Caryophyllaceae";"1024536"
"Almindelig fuglegræs";"Stellaria media";"Caryophyllaceae";"53298"
"Strandgåsefod";"Suaeda maritima";"Chenopodiaceae";"169432"
"Djævelsbid";"Succisa pratensis";"Dipsacaceae";"131203"
"Flipkrave";"Teesdalia nudicaulis";"Brassicaceae";"79325"
"Kærbregne";"Thelypteris palustris";"Thelypteridaceae";"82569"
"Bredbladet timian";"Thymus pulegioides";"Lamiaceae";"169753"
"Smalbladet timian";"Thymus serpyllum";"Lamiaceae";"322051"
"Skovstjerne";"Trientalis europaea";"Myrsinaceae";"716947"
"Hare-kløver";"Trifolium arvense";"Fabaceae";"79408"
"Gul kløver";"Trifolium campestre";"Fabaceae";"57076"
"Fin kløver";"Trifolium dubium";"Fabaceae";"53313"
"Jordbær-kløver";"Trifolium fragiferum";"Fabaceae";"58167"
"Bugtet kløver";"Trifolium medium";"Fabaceae";"85065"
"Rød-kløver";"Trifolium pratense";"Fabaceae";"51875"
"Hvid-kløver";"Trifolium repens";"Fabaceae";"55745"
"Stribet kløver";"Trifolium striatum";"Fabaceae";"79432"
"Strand-trehage";"Triglochin maritima";"Juncaginaceae";"60264"
"Kær-trehage";"Triglochin palustris";"Juncaginaceae";"79436"
"Strandasters";"Tripolium vulgare";"Asteraceae";"170020"
"Engblomme";"Trollius europaeus";"Ranunculaceae";"59552"
"Smalbladet dunhammer";"Typha angustifolia";"Typhaceae";"60316"
"Bredbladet dunhammer";"Typha latifolia";"Typhaceae";"48685"
"Skov-elm";"Ulmus glabra";"Ulmaceae";"170056"
"Stor nælde";"Urtica dioica";"Urticaceae";"51884"
"Blåbær";"Vaccinium myrtillus";"Ericaceae";"127029"
"Tranebær";"Vaccinium oxycoccos";"Ericaceae";"126560"
"Mose-bølle";"Vaccinium uliginosum";"Ericaceae";"64714"
"Tyttebær";"Vaccinium vitis-idaea";"Ericaceae";"56312"
"Tvebo baldrian";"Valeriana dioica";"Valerianaceae";"170112"
"Hyldebladet baldrian";"Valeriana sambucifolia ssp. sambucifolia";"Valerianaceae";"1097921"
"Tykbladet ærenpris";"Veronica beccabunga";"Scrophulariaceae";"54333"
"Tveskægget ærenpris";"Veronica chamaedrys";"Scrophulariaceae";"51610"
"Vedbend-ærenpris";"Veronica hederifolia ssp. hederifolia";"Scrophulariaceae";"56129"
"Bjerg-ærenpris";"Veronica montana";"Scrophulariaceae";"320310"
"Læge-ærenpris";"Veronica officinalis";"Scrophulariaceae";"129020"
"Muse-vikke";"Vicia cracca";"Fabaceae";"52471"
"Tofrøet vikke";"Vicia hirsuta";"Fabaceae";"56188"
"Vår-vikke";"Vicia lathyroides";"Fabaceae";"79503"
"Foder-vikke";"Vicia sativa ssp. sativa";"Fabaceae";"53324"
"Gærde-vikke";"Vicia sepium";"Fabaceae";"127345"
"Tadder-vikke";"Vicia tetrasperma";"Fabaceae";"57310"
"Hunde-viol";"Viola canina";"Violaceae";"124359"
"Håret viol";"Viola hirta";"Violaceae";"286612"
"Marts-viol";"Viola odorata";"Violaceae";"55845"
"Eng-viol";"Viola palustris";"Violaceae";"79514"
"Skov-viol";"Viola reichenbachiana";"Violaceae";"147293"
"Krat-viol";"Viola riviniana";"Violaceae";"61481"
"Almindelig stedmoderblomst";"Viola tricolor ssp. tricolor";"Violaceae";"55739"
"Tjærenellike";"Viscaria vulgaris";"Caryophyllaceae";"741459"
